crop,name,date,pno,ll,lw
박진순,참외,2018-05-21,1,9.5,10
박진순,참외,2018-05-21,2,12,11
박진순,참외,2018-05-21,3,8,7.5
박진순,참외,2018-05-21,4,11.2,11
박진순,참외,2018-05-21,5,8.8,9.5
박진순,참외,2018-05-29,1,8.3,9
박진순,참외,2018-05-29,2,8.1,9.4
박진순,참외,2018-05-29,3,8.1,9.2
박진순,참외,2018-05-29,4,8.6,9
박진순,참외,2018-05-29,5,6.6,7.1
박진순,참외,2018-06-05,1,9.5,8.9
박진순,참외,2018-06-05,2,9.7,10
박진순,참외,2018-06-05,3,7.6,8.7
박진순,참외,2018-06-05,4,8,9.1
박진순,참외,2018-06-05,5,9.6,10.2
박진순,참외,2018-06-12,1,8.2,10.1
박진순,참외,2018-06-12,2,7.4,9.2
박진순,참외,2018-06-12,3,6,7
박진순,참외,2018-06-12,4,7.3,7.9
박진순,참외,2018-06-12,5,8.3,8.9
박진순,참외,2018-06-18,1,8.5,8.9
박진순,참외,2018-06-18,2,8,8.3
박진순,참외,2018-06-18,3,6.7,7.5
박진순,참외,2018-06-18,4,7.6,8.6
박진순,참외,2018-06-18,5,6.6,7.3
박진순,참외,2018-06-26,1,7.5,7.7
박진순,참외,2018-06-26,2,6.6,7.5
박진순,참외,2018-06-26,3,6,7
박진순,참외,2018-06-26,4,6.5,6.8
박진순,참외,2018-06-26,5,7.4,7.6
박진순,참외,2018-07-03,1,6.7,7.7
박진순,참외,2018-07-03,2,6.3,7.4
박진순,참외,2018-07-03,3,7,8.3
박진순,참외,2018-07-03,4,7.7,8.5
박진순,참외,2018-07-03,5,7.1,8
박진순,참외,2018-07-10,1,8,8.5
박진순,참외,2018-07-10,2,7.8,6.9
박진순,참외,2018-07-10,3,7.9,7.5
박진순,참외,2018-07-10,4,8,8.1
박진순,참외,2018-07-10,5,7.6,7.9
박진순,참외,2018-07-16,1,7,8
박진순,참외,2018-07-16,2,7.3,7.5
박진순,참외,2018-07-16,3,6.8,7.5
박진순,참외,2018-07-16,4,6,7
박진순,참외,2018-07-16,5,6.5,7
박진순,참외,2018-07-24,1,7.3,8
박진순,참외,2018-07-24,2,7,7.5
박진순,참외,2018-07-24,3,7.3,7.8
박진순,참외,2018-07-24,4,6,6.7
박진순,참외,2018-07-24,5,5.3,6.5
